LOG TYPE,MESSAGE,LOG
Error,Error while reading data from https://georgetown.imodules.com/s/1686/alumni/index.aspx?sid=1686&gid=7&pgid=94&cid=256&mid=72133,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div[1]/div[2]/div/div[2]/section/div[2]/div[2]/div[1]/div[3]/div[3]/div[2]/div/div/div[1]/div[2]/div[2]/div[2]/ul/li[1]/div[1]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://georgetown.imodules.com/s/1686/alumni/index.aspx?sid=1686&gid=7&pgid=94&cid=256&mid=134697,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div[1]/div[2]/div/div[2]/section/div[2]/div[2]/div[1]/div[3]/div[3]/div[2]/div/div/div[1]/div[2]/div[2]/div[2]/ul/li[1]/div[1]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://georgetown.imodules.com/s/1686/alumni/index.aspx?sid=1686&gid=7&pgid=94&cid=256&mid=68139,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div[1]/div[2]/div/div[2]/section/div[2]/div[2]/div[1]/div[3]/div[3]/div[2]/div/div/div[1]/div[2]/div[2]/div[2]/ul/li[1]/div[1]"" failed: timeout 30000ms exceeded"
