STATE,LAST NAME INITIAL LETTER,COUNT,VALID
MA,x,4,TRUE
MA,y,43,TRUE
MA,z,45,TRUE
MI,ALL,0,TRUE
MN,a,0,TRUE
MN,b,97,TRUE
MN,c,68,TRUE
MN,d,51,TRUE
MN,e,0,TRUE
MN,f,43,TRUE
MN,g,62,TRUE
MN,h,83,TRUE
MN,i,6,TRUE
MN,j,31,TRUE
MN,k,0,TRUE
MN,l,61,TRUE
MN,m,137,TRUE
MN,n,28,TRUE
MN,o,21,TRUE
MN,p,61,TRUE
MN,q,2,TRUE
MN,r,54,TRUE
MN,s,125,TRUE
MN,t,39,TRUE
MN,u,3,TRUE
MN,v,21,TRUE
MN,w,63,TRUE
MN,x,1,TRUE
MN,y,9,TRUE
MN,z,0,TRUE
MS,ALL,205,TRUE
MO,a,26,TRUE
MO,b,0,TRUE
MO,c,80,TRUE
MO,d,54,TRUE
MO,e,18,TRUE
MO,f,46,TRUE
MO,g,55,TRUE
MO,h,81,TRUE
MO,i,7,TRUE
MO,j,24,TRUE
MO,k,0,TRUE
MO,l,64,TRUE
MO,m,109,TRUE
MO,n,23,TRUE
MO,o,23,TRUE
MO,p,45,TRUE
MO,q,5,TRUE
MO,r,39,TRUE
MO,s,95,TRUE
MO,t,32,TRUE
MO,u,2,TRUE
MO,v,13,TRUE
MO,w,70,TRUE
MO,x,0,TRUE
MO,y,8,TRUE
MO,z,5,TRUE
MT,ALL,237,TRUE
NE,ALL,227,TRUE
NV,ALL,550,TRUE
NB,ALL,0,TRUE
NH,ALL,0,TRUE
NJ,a,251,TRUE
NJ,b,604,TRUE
NJ,c,644,TRUE
NJ,d,484,TRUE
NJ,e,96,TRUE
NJ,f,349,TRUE
NJ,g,415,TRUE
NJ,h,431,TRUE
NJ,i,54,TRUE
NJ,j,119,TRUE
NJ,k,446,TRUE
NJ,l,457,TRUE
NJ,m,824,TRUE
NJ,n,137,TRUE
NJ,o,167,TRUE
NJ,p,389,TRUE
NJ,q,22,TRUE
NJ,r,370,TRUE
NJ,s,800,TRUE
NJ,t,246,TRUE
NJ,u,0,TRUE
NJ,v,0,TRUE
NJ,w,308,TRUE
NJ,x,1,TRUE
NJ,y,60,TRUE
NJ,z,0,TRUE
NM,ALL,581,TRUE
NY,a,666,TRUE
NY,b,1000,FALSE
NY,c,1000,FALSE
NY,d,0,TRUE
NY,e,262,TRUE
NY,f,775,TRUE
NY,g,0,TRUE
NY,h,0,TRUE
NY,i,0,TRUE
NY,j,0,TRUE
NY,k,0,TRUE
NY,l,1000,FALSE
NY,m,0,TRUE
NY,n,0,TRUE
NY,o,402,TRUE
NY,p,941,TRUE
NY,q,49,TRUE
NY,r,0,TRUE
NY,s,1000,FALSE
NY,t,587,TRUE
NY,u,0,TRUE
NY,v,0,TRUE
NY,w,0,TRUE
NY,x,16,TRUE
NY,y,129,TRUE
NY,z,0,TRUE
NF,ALL,0,TRUE
NC,ALL,0,TRUE
ND,ALL,50,TRUE
MP,ALL,0,TRUE
NT,ALL,0,TRUE
NS,ALL,0,TRUE
OH,a,84,TRUE
OH,b,233,TRUE
OH,c,0,TRUE
OH,d,0,TRUE
OH,e,55,TRUE
OH,f,107,TRUE
OH,g,0,TRUE
OH,h,173,TRUE
OH,i,13,TRUE
OH,j,0,TRUE
OH,k,136,TRUE
OH,l,0,TRUE
OH,m,254,TRUE
OH,n,58,TRUE
OH,o,51,TRUE
OH,p,0,TRUE
OH,q,5,TRUE
OH,r,140,TRUE
OH,s,243,TRUE
OH,t,92,TRUE
OH,u,7,TRUE
OH,v,0,TRUE
OH,w,142,TRUE
OH,x,0,TRUE
OH,y,13,TRUE
OH,z,25,TRUE
OK,ALL,374,TRUE
ON,ALL,0,TRUE
OR,a,0,TRUE
OR,b,98,TRUE
OR,c,80,TRUE
OR,d,0,TRUE
OR,e,23,TRUE
OR,f,48,TRUE
OR,g,75,TRUE
OR,h,85,TRUE
OR,i,0,TRUE
OR,j,32,TRUE
OR,k,0,TRUE
OR,l,58,TRUE
OR,m,116,TRUE
OR,n,29,TRUE
OR,o,26,TRUE
OR,p,59,TRUE
OR,q,3,TRUE
OR,r,55,TRUE
OR,s,124,TRUE
OR,t,51,TRUE
OR,u,4,TRUE
OR,v,18,TRUE
OR,w,66,TRUE
OR,x,1,TRUE
OR,y,3,TRUE
OR,z,6,TRUE
TT,ALL,0,TRUE
PW,ALL,0,TRUE
PA,a,181,TRUE
PA,b,516,TRUE
PA,c,0,TRUE
PA,d,412,TRUE
PA,e,117,TRUE
PA,f,288,TRUE
PA,g,344,TRUE
PA,h,404,TRUE
PA,i,0,TRUE
PA,j,126,TRUE
PA,k,361,TRUE
PA,l,0,TRUE
PA,m,0,TRUE
PA,n,0,TRUE
PA,o,141,TRUE
PA,p,304,TRUE
PA,q,10,TRUE
PA,r,350,TRUE
PA,s,711,TRUE
PA,t,0,TRUE
PA,u,26,TRUE
PA,v,104,TRUE
PA,w,0,TRUE
PA,x,3,TRUE
PA,y,0,TRUE
PA,z,63,TRUE
PE,ALL,0,TRUE
PR,ALL,598,TRUE
