LOG TYPE,MESSAGE,LOG
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=295353,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=173844,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=144893,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=170289,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52311,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52495,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=163342,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=209816,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=51737,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=6614,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=71357,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=40596,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=52469,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=50064,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=181099,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=49968,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=157535,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=47169,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=158276,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=136812,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
Error,Error while reading data from https://alumni-resources.georgetown.edu/s/1686/alumni/index.aspx?sid=1686&gid=4&pgid=94&cid=256&mid=213712,"TimeoutError: waiting for XPath ""/html/body/form/div[3]/div/div[2]/div/div[2]/section/div[2]/div/div/div[3]/div[2]/div/div[4]/div[2]/div/div/div[1]/div[2]"" failed: timeout 30000ms exceeded"
